b'2016-09-30T00:48:56 * lliskovoi_ joined the channel
2016-09-30T03:13:59 * michelled joined the channel
2016-09-30T04:11:02 * danayo joined the channel
2016-09-30T06:15:03 * amatas joined the channel
2016-09-30T06:19:23 * lliskovoi joined the channel
2016-09-30T10:42:49 * gtirloni joined the channel
2016-09-30T11:13:29 * lliskovoi joined the channel
2016-09-30T11:24:15 * Justin_o joined the channel
2016-09-30T11:36:14 * michelled joined the channel
2016-09-30T12:17:16 * jessm joined the channel
2016-09-30T12:28:13 * cindyli joined the channel
2016-09-30T12:31:54 * jhung joined the channel
2016-09-30T12:35:35 * lliskovoi joined the channel
2016-09-30T12:50:36 * colinclark joined the channel
2016-09-30T13:22:03 * cindyli joined the channel
2016-09-30T13:49:19 * clown joined the channel
2016-09-30T13:52:12 * simonjb joined the channel
2016-09-30T13:56:53 * cindyli joined the channel
2016-09-30T14:13:46 * cindyli joined the channel
2016-09-30T14:16:00 * cindyli1 joined the channel
2016-09-30T14:35:57 * michelled joined the channel
2016-09-30T15:12:56 * cindyli joined the channel
2016-09-30T15:17:00 * cindyli1 joined the channel
2016-09-30T15:17:00 * cindyli has quit
2016-09-30T15:33:53 * clown has quit
2016-09-30T15:35:52 * clown joined the channel
2016-09-30T16:27:43 * colinclark joined the channel
2016-09-30T16:29:14 * jhung joined the channel
2016-09-30T16:53:21 * gtirloni_ joined the channel
2016-09-30T17:29:25 * Yan_Hu joined the channel
2016-09-30T22:42:53 * colinclark joined the channel
'

