b'2018-09-26T00:15:10 * jhernandez has quit
2018-09-26T00:15:26 * jhernandez joined the channel
2018-09-26T02:14:23 * alanharnum joined the channel
2018-09-26T02:29:55 * michelled joined the channel
2018-09-26T06:16:33 * alanharnum joined the channel
2018-09-26T10:18:25 * alanharnum joined the channel
2018-09-26T12:18:56 * alanharnum joined the channel
2018-09-26T12:20:05 * alanharnum2 joined the channel
2018-09-26T12:22:37 * Justin_o joined the channel
2018-09-26T12:25:23 * michelled joined the channel
2018-09-26T12:57:03 * cindyli joined the channel
2018-09-26T12:58:11 * simonjb joined the channel
2018-09-26T13:14:58 * clown joined the channel
2018-09-26T13:45:18 * avtar joined the channel
2018-09-26T13:54:39 * colinclark joined the channel
2018-09-26T14:15:46 * colinclark joined the channel
2018-09-26T15:58:37 * cindyli joined the channel
2018-09-26T16:00:03 * alanharnum2 joined the channel
2018-09-26T18:29:17 * clown joined the channel
2018-09-26T19:09:41 * avtar joined the channel
2018-09-26T19:28:04 * avtar1 joined the channel
2018-09-26T19:51:09 * alanharnum joined the channel
2018-09-26T19:56:02 * clown joined the channel
2018-09-26T20:23:34 * avtar joined the channel
2018-09-26T21:13:11 * alanharnum joined the channel
2018-09-26T21:15:36 * alanharnum joined the channel
2018-09-26T22:36:17 * michelled joined the channel
'

